Ano;Ponto de colheita;Temperatura ºC ;Conductividade Eléctrica (μS/cm);pH ;Turbidez (NTU);O2 Dissolvido (mg/l)
Abril-2017;PT8;27.97;118;8.16;8.16;7.41
Abril-2017;PT9;27.44;118;8.58;8.58;7
Abril-2017;PT10;27.44;118;8.58;8.58;7
Abril-2017;PT11;27.32;119;8.31;8.31;6.9
Abril-2017;PT12;27.71;125;8.27;8.27;6.71
Abril-2017;PT13;27.71;129;8.49;8.49;6.81
Abril-2017;PT14;26.67;125;8.18;59.6;7.02
Abril-2017;PT15;;;;;
Abril-2017;PT16;;;;;
Abril-2017;PT17;;;;;
Abril-2017;PT18;;;;;
Abril-2017;PT19;;;;;
Outubro-2017;PT1;26.4;136;9;6.81;
Outubro-2017;PT2;26.8;137.5;8.98;4.33;
Outubro-2017;PT3;26.9;136.7;8.76;7.48;
Outubro-2017;PT4;27.4;136.5;9;8.25;
Outubro-2017;PT5;27.6;136.9;9.06;4.27;
Outubro-2017;PT6;31.8;138.3;8.9;5.64;
Outubro-2017;PT7;29.8;138.2;8.94;9.65;
Outubro-2017;PT8;28.7;139.7;8.89;6.25;
Outubro-2017;PT9;29;139.8;8.94;4.94;
Outubro-2017;PT10;29.4;140.4;8.88;24.4;
Outubro-2017;PT11;30.4;139.8;9.03;5.94;
Outubro-2017;PT12;29.1;130;8.58;6;
Outubro-2017;PT13;29.6;128.7;8.68;12.8;
Outubro-2017;PT14;;;;;
Outubro-2017;PT15;;;;;
Outubro-2017;PT16;;;;;
Outubro-2017;PT17;;;;;
Outubro-2017;PT18;;;;;
Outubro-2017;PT19;;;;;
Abril-2018;PT1;27.45;123.5;7.61;0.3;5.84
Abril-2018;PT2;27.41;123.7;7.65;0.6;5.83
Abril-2018;PT3;27.35;124;7.76;0.3;5.93
Abril-2018;PT4;27.45;123.5;7.73;0.3;6.11
Abril-2018;PT5;27.53;123.3;7.45;0.5;6.19
Abril-2018;PT6;27.12;128.8;7.63;1.3;6.07
Abril-2018;PT7;27.51;122.9;7.45;1.9;6.67
Abril-2018;PT8;28.95;117.7;7.53;29.5;7.2
Abril-2018;PT9;28.37;119.5;7.33;31.9;7.4
Abril-2018;PT10;28.5;117.4;7.58;34.6;8.03
Abril-2018;PT11;26.87;112.3;7.42;70.6;7.89
Abril-2018;PT12;27.72;108.8;7.62;89.9;7.27
Abril-2018;PT13;29.7;114.3;7.51;61.5;8.44
Abril-2018;PT14;;;;;
Abril-2018;PT15;;;;;
Abril-2018;PT16;;;;;
Abril-2018;PT17;;;;;
Abril-2018;PT18;;;;;
Abril-2018;PT19;;;;;
Outubro-2018;PT1;26.7;127;8.89;2.9;
Outubro-2018;PT2;25.3;128;8.95;1.2;
Outubro-2018;PT3;25.1;127;9.08;1.7;
Outubro-2018;PT4;25;127;9.1;1.9;
Outubro-2018;PT5;26.1;126;9.29;1.7;
Outubro-2018;PT6;24.9;123;8.87;1.5;
Outubro-2018;PT7;27.9;128;9.32;3.4;
Outubro-2018;PT8;26.27;126;8.72;1.6;
Outubro-2018;PT9;27.6;134;8.93;1.7;
Outubro-2018;PT10;26.7;205;8.56;3.4;
Outubro-2018;PT11;26.5;132;8.76;3.4;
Outubro-2018;PT12;25.4;128;8.5;6.1;
Outubro-2018;PT13;25.2;209;7.31;5.3;
Outubro-2018;PT14;26.5;115;8.4;13.7;
Outubro-2018;PT15;25.4;108;7.77;6.5;
Outubro-2018;PT16;25;105;8.44;10.5;
Outubro-2018;PT17;24.7;65;8.36;8.6;
Outubro-2018;PT18;24.9;103;8.26;8.8;
Outubro-2018;PT19;25.5;102;8.68;11.2;
